"Light" "Wind.Speed" "Air.Pressure" "Air.Temperature" "Water.temperature"
"113" 1839.05 24.4728 1016.8 24.8 25.1726
"114" -0.01297 9.774 1005.1 28.8 29.0853
"115" 0.015353 14.5044 1014.1 26.1 27.272
"116" 2259.56 36.072 1010.2 28.1 28.5558
"117" 470.509 20.2392 1003.7 28.9 29.4272
"118" -0.012994 45.252 1013.7 24.7 25.0315
"119" -0.003729 11.7252 1004.5 28.2 28.8819
"120" 1340.94 14.544 1005.7 28.2 29.3903
"121" 1857.68 8.7408 1010.6 28.6 29.0739
"122" -0.005924 34.02 1013.4 25.9 27.0062
"123" 1784.98 32.976 1009.9 27.8 28.1479
"124" 1634.61 32.292 1007.2 29 28.9957
"125" 0.017851 17.9604 1003.6 28 29.5685
"126" 720.951 23.364 1010 27.5 27.6261
"127" 2023.07 16.9308 1008.6 25.9 26.1598
"128" 1134.23 41.868 1008 28.3 28.8501
"129" 0.022158 38.34 1011.7 23.9 24.88
"130" 2154.65 39.888 1009.8 27.9 28.5471
"131" 0.04146 33.66 1014.1 25.1 26.2485
"132" 403.833 25.0344 1002.9 28.2 29.1219
"133" 0.011968 12.5316 1006.2 29.1 29.2386
"134" 423.987 23.0292 1008.2 28.5 28.9272
"135" 1077.35 11.4588 1008.3 29 28.7433
"136" 2064.19 34.632 1012.6 25.7 26.461
"137" 1091.64 12.0456 1008.3 29 28.7442
"138" 0.007095 18.8532 1014.5 25.4 25.2135
"139" 273.226 31.104 1008.4 27.9 29.312
"140" -0.004096 12.96 1005.2 26.4 29.3685
"141" 1113.66 17.7696 1007.5 26.1 26.7553
"142" -0.004818 21.8376 1011.5 27.1 27.4457
"143" -0.013721 15.0084 1013.9 26.6 27.4021
"144" 0.224661 35.568 1014.5 24.7 25.7852
"145" 428.823 26.622 1000 28.9 29.4898
"146" -0.008053 29.412 1012 25.8 26.8952
"147" 0.044367 38.304 1015.5 23.3 25.3782
"148" 905.598 34.596 1008.4 28.9 28.9809
"149" 0.021835 32.58 1005.5 28.2 29.576
"150" 1678.23 34.056 1010.7 27.3 27.3914
"151" 0.006944 27.8064 1011.9 27.4 27.9214
"152" 0.039519 13.5792 1005.6 28.9 29.326
"153" 0.024851 22.9464 1008.8 28.6 29.2809
"154" 0.057788 25.9452 1011.9 27.2 27.9348
"155" 410.951 31.5 1015 24.7 25.1524
"156" 0.01881 16.4052 1007.7 28 28.4119
"157" 0.002507 2.8764 1006 29 29.0799
"158" 238.658 23.4072 1004.5 26.8 29.5418
"159" 14.9279 9.3096 1008.8 28.8 29.471
"160" 1148.96 16.722 1004.3 27.1 29.4375
"161" 1096.18 30.888 1010.7 27.4 28.3444
"162" 1119.1 27.2196 1012.9 25.4 25.5462
"163" -0.017152 0.3708 1014.3 25.4 25.6357
"164" -0.025373 16.1028 1008.3 28.4 28.4098
"165" 1843.18 16.0596 1011.1 25.7 26.6633
"166" 38.1592 8.7516 1010.8 24.8 25.2232
"167" -0.006869 0.0144 1012 25.3 25.551
"168" 2011.98 8.0424 1007.6 28.7 28.9779
"169" 261.12 16.6824 1007 27.9 28.4195
"170" 0.037353 31.464 998.4 29.1 29.0454
"171" 786.823 10.962 1010.5 26.6 27.3897
"172" 204.677 7.722 1004.3 28.1 29.606
"173" 0.002479 12.9852 1014 24.8 24.8344
"174" 1711.08 15.2856 1011.7 26.6 27.4441
"175" 0.000947 30.816 1010.5 26.9 27.8893
"176" 370.074 22.9284 1010.7 25.8 26.8127
"177" 1690.62 10.3176 1008 29.6 28.8271
"178" -0.001179 27.6624 1002.7 28.7 29.7831
"179" 0.001034 1.872 1003 28.2 29.4666
"180" 4.2938 19.476 1009.5 28.2 29.2947
"181" 1219.8 6.1956 1007 27.7 29.7678
"182" 0.02323 34.416 1013.4 25.5 26.5167
"183" 1510.41 5.616 1007 28.4 29.1066
"184" 82.7722 41.868 1012.8 24.1 25.0831
"185" 2180.34 23.9724 1007 29.2 29.506
"186" 0.218147 22.6188 1010.8 27.6 27.628
"187" 824.287 45.36 1007.8 27.3 28.5257
"188" -0.01065 27.0828 1012 27.2 27.9438
"189" 0.029145 35.46 1015.5 24.8 25.1709
"190" 1915.34 25.0164 1013.2 25.1 25.9187
"191" 0.026578 14.1552 1004.5 29.7 29.2664
"192" -0.003628 17.0388 1006.3 27.2 29.05
"193" 2010.47 38.232 1014 25.2 25.2432
"194" 744.177 33.48 1014.5 24.7 25.5316
"195" 0.022774 34.92 1007.7 28.5 28.8616
"196" 30.9 39.636 1014.8 24.3 25.218
"197" 1490.67 35.604 1014.5 25.1 25.8679
"198" 2210.16 13.8744 1010.5 27 27.6742
"199" 164.544 23.7276 1008.3 28.5 29.2117
"200" 86.8089 28.7568 1001.8 29.1 29.2939
"201" 1919.99 35.388 1013.8 25.1 25.8729
"202" 2129.84 20.8296 1012.5 26.1 27.076
"203" 1835.49 13.5468 1008 28.4 29.4864
"204" 0.027141 13.1796 1013.6 26.3 27.0261
"205" -0.005448 28.7208 1003.5 29.3 29.5697
"206" 0.043262 10.3752 1012.8 24.9 25.7994
"207" 0.000168 20.1204 1013.7 25.5 25.565
"208" 2165.43 12.8844 1004.1 27.7 29.4241
"209" 1884.24 15.3396 1013.2 25.6 25.5585
"210" 2.49858 33.876 1011.1 27.4 27.5723
"211" 0.024914 8.46 1003.1 29.6 29.643
"212" 1880.31 32.616 1013.6 26.1 26.6729
"213" 1057.05 34.2 1014.3 25.3 25.6537
"214" 977.404 28.0188 1009.3 28.9 28.9608
"215" 11.1379 24.2568 1004.9 28.3 29.2147
"216" 0.001571 23.3028 1012.2 25.9 26.8211
"217" 0.005734 37.116 1012.4 25.1 26.7571
"218" 779.512 34.56 1002.2 29.6 29.6709
"219" 0.02388 19.4544 1008.6 28.9 29.4671
"220" 400.301 43.488 1015.3 24.9 25.8019
"221" 1372.38 20.5344 1009.1 28.2 29.7215
"222" 0.025368 19.7748 1005.2 28.7 29.3558
"223" -0.004053 32.976 1014.8 26.2 27.0003
"224" 0.035931 33.48 1014.3 27 27.5896
"225" -0.000629 42.948 1014 25 25.2476
"226" 0.037474 27.0252 1007.3 28.2 29.3995
"227" 0.033682 12.8088 1013.4 25.2 25.7004
"228" 1773.02 32.688 1002.8 29.2 29.2249
"229" 1242.96 35.928 1003.7 26.3 29.4562
"230" 43.3619 21.3408 1001.8 28.2 29.0065
"231" -0.014663 17.0136 1002.2 29 29.4065
"232" 0.060496 8.64 1005.4 29.5 29.1007
"233" 1331.17 25.416 1004.2 29.9 29.2936
"234" 0.0464 12.582 1004.4 28.4 29.0392
"235" 383.793 7.8804 1001.7 28.3 29.5831
"236" 1429.38 25.5708 1013.6 26.1 27.3748
"237" 2184.14 18.0288 1007.1 28.2 28.6335
"238" -0.0129 26.82 1013.4 26.1 26.7838
"239" -0.054717 45.324 1013.4 24.7 25.0156
"240" 771.786 39.204 1013.7 24.5 25.0907
"241" 0.021064 22.9896 1002.4 28.5 29.2853
"242" 0.015803 9.0144 1011.8 26.1 26.9554
"243" 0.009763 44.064 1007.3 27.3 28.7152
"244" 0.002504 10.9332 1002.5 29.1 29.4086
"245" 0.022924 10.8144 1004.6 28.9 29.0683
"246" 1071.72 10.8252 1006 29.4 29.2304
"247" 2306.33 13.14 1008.1 28.2 28.3326
"248" 0.051318 32.292 1014.8 26.5 27.2331
"249" 8.25087 24.426 1012.1 26.4 27.2365
"250" 0.04245 9.8352 1011.8 26.2 26.9758
"251" 1864.22 39.096 1012.4 24.6 25.2186
"252" -0.008833 28.3464 1002.8 29.3 29.6296
"253" 1992.46 43.452 1008 28.2 28.8293
"254" 0.001719 17.0496 1005.8 28.4 29.3796
"255" 0.02002 36.612 1010.7 26.1 27.0128
"256" 0.023516 11.2716 1011.6 25.8 27.2232
"257" 13.4634 43.092 1016.1 22.1 25.4872
"258" 0.007663 13.6944 1011.6 26.8 27.6944
"259" 640.698 38.556 1007 28.1 28.5807
"260" 1930.41 28.224 1012.2 27.4 27.6635
"261" 0.03202 12.1176 1004.4 27.5 29.493
"262" 1665.28 28.872 1005.1 29.2 29.192
"263" 0.041098 22.896 1012.8 26.4 27.2589
"264" 2056.32 23.238 1008.5 27.8 28.565
"265" 0.00808 10.9476 1008.1 29.1 29.9476
"266" 375.693 29.34 1005.9 28.7 29.0781
"267" 0.032436 22.9032 1007.2 28.1 29.4423
"268" 308.069 20.5632 1008 27.7 28.648
"269" 1449.44 30.276 1014.2 24.8 25.4244
"270" 0.040278 15.75 1005 27.9 29.265
"271" 178.175 40.176 1007.8 28.4 29.0426
"272" -0.021268 46.548 1013.2 24.5 24.999
"273" 1552.99 23.5044 1010 27.4 29.4831
"274" 0.07865 15.84 1007.7 27.2 28.9199
"275" 0.01197 11.9196 1008.2 29.6 29.7664
"276" 0.114104 0.4896 1011.9 22.4 26.2344
"277" 1931.59 11.9304 1007.4 28.7 28.9655
"278" 2094.05 35.82 1011 28.4 28.6083
"279" 0.002068 21.1248 1008.3 27.9 28.9676
"280" 26.9726 39.744 1014.2 24.3 25.147
"281" -0.019498 35.748 1012 27.6 28.3283
"282" -0.003123 8.748 1010.5 29.1 29.5502
"283" -0.006376 24.8004 1010.7 25.4 26.6073
"284" 1887.81 27.6516 1009.6 28.5 29.0588
"285" 1847.8 26.2764 1004.3 27.3 29.4657
"286" 944.103 18.4608 1003.4 27.8 29.4634
"287" 218.268 30.6 1006.8 29.2 29.325
"288" 761.536 22.8024 1011.5 25.5 26.8735
"289" 2.74328 20.6532 1001 28.4 29.3381
"290" 0.863777 22.9464 1007.2 28.6 29.2723
"291" 192.966 32.508 1012.3 25.8 26.8268
"292" 1692.89 12.1356 1007.9 25.9 26.1658
"293" -0.029223 13.6152 1013.5 26.4 27.0475
"294" 801.189 27.162 1012 25.2 25.9485
"295" 144.891 23.3676 1005.9 27.7 28.9221
"296" -0.0305 25.866 1015.3 26 26.3274
"297" 1602.42 33.804 1000.3 27.3 29.3207
"298" -0.011866 26.2404 1011.2 26.9 28.1627
"299" -0.013695 24.2244 1005 29.4 29.0483
"300" 0.013692 35.28 999.6 29.3 29.0565
"301" 1408.23 23.7564 1008.8 28.2 29.338
"302" 314.89 30.708 1007.4 28.2 29.1641
"303" 0.038228 19.5912 1009.4 27.7 28.6261
"304" 0.029018 10.9152 1006.2 27.2 29.3028
"305" 759.382 41.436 1013.8 25 25.0854
"306" 0.02555 30.78 1014.1 24.4 25.082
"307" 1557.24 24.48 1011.9 26.4 27.0935
"308" 1420.04 37.476 1010.3 25.7 26.3882
"309" 0.015901 33.552 1004.3 28.1 29.2148
"310" -6.9e-05 27.5004 1012.6 26.8 26.7955
"311" 1589.29 30.132 1004.7 28.3 29.4841
"312" 45.185 22.0284 1009.4 26.3 27.6547
"313" 0.012002 32.868 1008.3 25.7 29.2512
"314" 1908.69 14.256 1013.8 25.4 25.9445
"315" 727.662 9.6948 1000.5 27.8 29.015
"316" 1955.76 25.182 1004.3 29.5 29.1747
"317" -0.003449 15.858 1012.3 24.8 26.8647
"318" 0.039432 10.7028 1012.7 25.6 26.862
"319" -0.039299 30.312 1011.6 25.3 26.7138
"320" -0.005199 15.3072 1012.9 27.1 27.6697
"321" 1836.87 7.3332 1008.1 28.6 29.4743
"322" -0.902242 19.4076 1012 25.5 26.3222
"323" -0.011774 3.6108 1004.7 29.8 29.4306
"324" -0.006366 9.1836 1012.8 27.6 27.7372
"325" 189.511 41.04 1007.7 28.4 29.0423
"326" 454.911 22.4784 1008.3 26.7 29.0831
"327" 9.35688 8.388 1008.3 28.8 29.1625
"328" 0.021196 44.964 1009.3 26.8 28.6382
"329" 0.016107 15.4656 1006.3 29.1 28.9243
"330" 1805.18 29.808 1011.4 27 27.8014
"331" 1411.91 39.312 1014.2 24.7 25.1208
"332" 0.010226 5.1264 1006.5 29.3 28.8322
"333" 0.029576 12.8052 1003.3 26.1 28.9256
"334" -0.022114 7.6788 1012.2 24.9 25.7836
"335" 1804.85 41.148 1000.2 29.2 29.1414
"336" 1855.02 7.6824 1007.8 29.7 28.7546
"337" 1252.87 23.9724 1000.8 25.8 29.3181
"338" 9.93979 26.208 1012.7 27 27.5007
"339" 1432.19 41.724 1013 25 26.4413
"340" 0.017557 10.9044 1012 27.2 27.7384
"341" 0.177181 0.4752 1011.8 22.3 26.2112
"342" 0.022877 19.1448 1007.7 27.7 29.2046
"343" 2033.21 19.0008 1003.2 28.9 29.4536
"344" 215.62 21.5064 1007.7 26.9 28.7333
"345" 1738.22 11.1996 1007.8 28.6 29.2189
"346" 0.002265 12.5064 1007.2 29.1 29.2223
"347" 1089.39 31.716 1010.6 25.9 26.3232
"348" -0.001366 10.8936 1003 26.6 29.2692
"349" 0.030867 24.138 1010.9 29.1 29.098
"350" 1153.66 12.8484 1011.4 26.5 27.5107
"351" 1704.56 30.492 1014.3 26.6 26.5469
"352" 444.3 22.4064 1013.6 25.2 25.2352
"353" 1918.86 24.696 1008.9 27.7 29.5279
"354" 0.02962 11.0412 1008.1 25.7 28.7268
"355" 743.127 43.272 1009.4 28.6 28.5212
"356" 1827.36 19.3464 1005.5 29.8 29.3612
"357" 175.675 10.8216 1007.8 29.1 29.8666
"358" 0.028579 24.354 1009.8 27.6 28.42
"359" 1766.85 16.7004 1009.5 26.3 26.4775
"360" 0.014856 24.1524 1012.4 26.4 27.0678
"361" -0.013906 21.114 1007.5 27.4 28.2525
"362" -0.001176 23.4288 1005.6 29.1 29.3377
"363" 735.444 44.136 1014.7 25.2 25.8402
"364" 1948.17 12.3948 1005.3 28.7 28.4373
"365" 0.95721 0.4608 1013.6 22.4 26.2479
"366" 0.042636 12.4056 1007.3 29.5 29.3588
"367" 0.014987 31.788 1014.5 24.6 25.3725
"368" 2204.36 34.668 1010.2 27.4 28.2897
"369" 27.6831 31.536 1004.2 29.6 29.3536
"370" 0.039054 18.0756 1003 28.4 29.1533
"371" 234.859 41.256 1007.8 28.4 29.024
"372" 777.721 33.876 1003.4 29.7 29.2758
"373" 0.000137 29.484 1017 25.1 26.2525
"374" 135.041 34.74 1007.6 29 28.8708
"375" 105.657 17.0532 1008 27.3 28.1608
"376" -0.007864 43.956 1013.5 24.3 24.955
"377" -0.02658 27.396 1015.1 24.4 24.9481
"378" 100.731 34.452 1000.9 26.9 29.1466
"379" 0.61662 25.8156 1015.1 25.9 26.3178
"380" -0.003388 12.7116 1007.2 29.1 29.0718
"381" 0.016739 26.982 1004.2 29.6 29.2013
"382" 0.004645 30.528 1010.8 27 27.9205
"383" 1566.22 28.5048 1009.1 28.3 29.1954
"384" 0.052626 18.4536 1015.1 25.8 25.5855
"385" 0.011682 6.9192 1006.5 29.9 29.0962
"386" 93.2407 31.32 1001.2 29.6 29.5679
"387" 0.032063 30.672 1007 28.9 29.05
"388" 858.795 10.5336 1006.8 29.3 29.0169
"389" 384.621 35.424 1013.3 23.9 25.1534
"390" -0.014994 37.476 1014.5 24.7 25.1306
"391" 0.017378 12.4992 1008.6 27.7 28.0288
"392" 0.02063 36 1012.7 24.3 25.0305
"393" 1034.86 30.132 1004.5 27.7 29.4749
"394" 0.004428 26.7624 1010.8 27.5 28.4468
"395" 30.687 12.1932 1006 28.9 29.4205
"396" 712.978 24.1524 1011.5 23.9 25.0787
"397" 59.1216 23.6052 1002.6 28.8 29.6061
"398" 1265.42 17.4204 1006.7 28.1 28.8379
"399" 2350.77 30.96 1000 29.7 28.9137
"400" 0.020019 52.308 1015.4 23.6 24.9882
"401" 1337.03 33.948 1010.1 27.1 29.4311
"402" 480.886 27.6732 1002.9 29.8 29.6656
"403" 673.495 0.4464 1014 22.2 26.2399
"404" 0.007993 29.556 998.3 29.1 29.0376
"405" 1452.75 32.724 1009 28.6 29.7141
"406" 0.055036 38.304 1010.8 27.4 28.9313
"407" 688.762 15.5376 1015.5 25.1 26.1601
"408" 0.028337 18.7056 1002.6 29.6 29.0137
"409" 0.001785 9.7344 1001.8 30.1 29.5159
"410" 96.3368 13.536 1000.2 26.9 29.1497
"411" 0.022889 4.932 1008 26 28.6335
"412" -0.031888 32.004 1014.9 25.8 25.5244
"413" 0.034447 37.584 1011.3 23.4 24.8404
"414" -0.220651 0.468 1013.5 22.4 26.2565
"415" 0.005017 10.2276 1011.6 27.7 27.6704
"416" -0.034857 37.368 1012.2 24.4 24.8903
"417" 0.008601 41.184 1017.5 24.5 25.4668
"418" 0.558919 33.876 1014.5 24.4 25.2252
"419" 677.009 32.4 1015.2 24.8 25.2007
"420" 0.03559 19.5768 1007.4 27.8 28.9198
"421" 40.4706 9.9648 1005.5 28.7 28.4218
"422" 0.028348 15.9192 1013.6 26.3 27.3425
"423" 431.694 29.016 1012.2 26.4 27.5242
"424" 0.140265 10.3752 1005.6 29.1 29.2577
"425" 0.003493 17.2008 1013.2 24.5 24.8699
"426" -0.022709 24.8616 1014.8 25.1 25.6199
"427" 26.5296 0.4032 1012.8 22.1 26.0932
"428" 0.007851 34.128 1008.4 25.6 28.9306
"429" 0.991332 33.66 1013.2 24.8 25.2663
"430" -0.032356 24.516 1013.9 25.2 25.137
"431" 0.032546 10.602 1007.3 29.8 29.1193
"432" 0.01245 10.3248 1004.5 29.4 29.0476
"433" 1206.71 47.448 1007.2 26.6 28.4769
"434" 0.00948 34.164 1010.3 28.2 28.9433
"435" 1729.44 22.9212 1013.2 26.4 27.3509
"436" 0.012603 14.9868 1008.7 28.5 29.5381
"437" 1642.68 19.9476 1011.3 27.3 27.7447
"438" 0.233106 25.1172 1013.3 26.1 26.2397
"439" 379.755 42.84 1012.4 24.7 25.5551
"440" 127.19 15.9444 1012.8 21.8 25.7144
"441" 2036.27 13.8744 1009.3 26.1 26.5083
"442" 0.341077 0.3672 1014 22.2 26.6639
"443" -0.018192 41.4 1014.5 25 25.1947
"444" 2127.59 28.6452 1004.2 28.5 29.1164
"445" 0.031659 36.648 1011.8 23.3 24.7381
"446" 100.035 21.5424 1001.6 29.4 29.6228
"447" 1850.88 35.244 1011.3 27.2 28.4749
"448" 2179.4 35.568 1003.4 28 29.3
"449" 83.386 46.692 1006.2 25.5 29.1477
"450" 0.01325 27.9576 1010.8 27.1 27.9648
"451" 0.036038 32.292 1000.6 29.4 29.7277
"452" 791.437 28.3068 1011.1 26.3 27.1511
"453" 1820.59 22.6368 1006.3 27.3 29.3887
"454" 252.908 31.248 997.4 29.4 29.0215
"455" 0.088844 36.324 1009 28.1 28.9684
"456" 0.539464 29.34 1013.2 26 27.0161
"457" 1832.44 39.78 1011.8 25.7 26.5304
"458" 313.159 46.836 1014 24.3 25.3903
"459" -0.097429 18.27 1011.9 22.1 26.2705
"460" 0.003602 16.4592 1009 28.6 29.5423
"461" 681.96 16.416 1010.1 28.6 29.3172
"462" 795.203 16.1316 1011.7 25.3 25.2265
"463" 293.542 34.848 1007.2 28.9 28.5811
"464" 0.008152 27.4536 1011.9 25.7 29.2796
"465" 7.64899 6.1776 1011.1 25.1 25.242
"466" 0.058702 37.44 1005.8 28.7 28.9983
"467" 0.970067 26.856 1008.2 27.7 29.1364
"468" 2076.43 9.4572 1005.2 28.8 28.813
"469" 0.02557 32.112 1006.9 25.2 29.2186
"470" 0.625943 6.2496 1005.2 29 29.6093
"471" 1336.49 11.5848 1009.4 28.1 29.4913
"472" 0.015726 35.496 1003 28 29.0615
"473" 31.2561 16.1136 1003.4 29 29.3015
"474" 0.030994 23.562 1014 26.3 26.7518
"475" 0.042657 16.7076 1007 27.7 29.3493
"476" 1954.56 10.4688 1005.1 29.5 29.2983
"477" -0.025411 41.256 1003.7 26.8 29.2324
"478" 822.898 30.312 1010.4 25.6 26.343
"479" 833.054 36.144 1002.2 29.6 29.6739
"480" -0.345566 0.432 1016.5 22.2 26.5552
"481" -0.000965 22.9644 1013.2 26.3 27.1784
"482" 1600.93 41.112 1000.9 29.4 29.4151
"483" 27.0662 0.3888 1011.6 21.9 25.9133
"484" 987.689 22.8456 1002.3 30 29.8242
"485" -0.009376 15.1884 1010.9 25.9 27.1628
"486" -0.012586 13.8456 1005.6 28.9 29.3361
"487" -0.00864 20.106 1013.6 25.3 25.5762
"488" -0.007834 39.78 1008.8 28.9 28.4662
"489" 1712.26 28.98 1007.3 29.2 29.1323
"490" 115.526 11.9772 1013.8 24.9 25.7266
"491" 166.382 29.376 1015.1 24.7 25.445
"492" 2166.28 7.7976 1006 28.7 28.8135
"493" 0.022603 42.876 1002 28.7 28.8887
"494" 0.030094 12.2256 1008.7 29.8 29.9055
"495" 0.013625 9.6804 1011.1 26 26.888
"496" 1806.66 27.3636 1009.5 27.3 29.2081
"497" 0.040383 28.1484 1001.8 29.3 29.2823
"498" 308.297 31.14 1013.6 24.8 25.9596
"499" 112.204 29.16 1011.3 27.1 27.4577
"500" 1327.58 26.7264 1013.4 26 27.3998
"501" 822.889 29.52 1010.2 26.8 27.8652
"502" 1795.45 39.564 1013.6 25 25.2508
"503" 0.021599 43.38 1014.3 24.8 25.0482
"504" 0.861151 0.3564 1012.5 22.1 26.6483
"505" 655.419 43.164 1008.4 28.4 28.2477
"506" 0.440312 0.4752 1011.4 22.3 25.9975
"507" 5.66396 10.7676 1007.6 29.7 29.8855
"508" 522.571 13.1112 1006.3 28.6 28.53
"509" 0.013626 4.4856 1005 29.7 29.3244
"510" 1925.27 18.6732 1008.6 28.4 29.0093
"511" 410.705 41.184 997.5 29.3 29.0451
"512" 1209.38 29.988 1013.1 25.1 25.4305
"513" 6.80948 46.08 1016.1 24.9 25.5077
"514" 1841.96 34.164 1010.9 27.3 27.4
"515" 31.4987 20.502 1008.7 29.5 29.1833
"516" 299.846 22.8528 1012.4 24.5 25.2113
"517" 0.028296 6.0876 1013.5 26 27.0939
"518" 385.01 25.9956 1011.6 24 25.0892
"519" 1997.56 39.816 1013.7 26.4 26.9731
